주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
161-2-000143,기독병원뒤공영주차장,공영,노외,,인천광역시 중구 율목동 231-29,25,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4708464,126.6326953,N,2025-06-01
161-2-000144,율목동주민센터뒤공영주차장,공영,노외,인천광역시 중구 율목로30번길 33-1,인천광역시 중구 율목동 90-2,3,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46974989,126.635455,N,2025-06-01
161-2-000145,내동공영주차장,공영,노외,,인천광역시 중구 내동 108,59,2,미시행,평일+토요일+공휴일,11:00,20:00,11:00,20:00,11:00,20:00,유료,30,600,15,300,5,6000,60000,현금+신용카드,,인천광역시 중구청,032-763-8146,37.472221,126.6270319,Y,2025-06-01
161-2-000146,경동공영주차장,공영,노외,,인천광역시 중구 경동 225-1,57,2,미시행,평일+토요일+공휴일,10:00,19:00,10:00,19:00,10:00,19:00,유료,30,600,15,300,5,6000,60000,현금+신용카드,,인천광역시 중구청,032-763-8146,37.47153624,126.6308467,Y,2025-06-01
161-2-000147,전동공영주차장,공영,노외,인천광역시 중구 홍예문로 67(전동),,70,2,미시행,평일+토요일+공휴일,11:00,20:00,11:00,20:00,11:00,20:00,유료,30,600,15,300,5,6000,60000,현금+신용카드,,인천광역시 중구청,032-763-8146,37.47590775,126.6268389,Y,2025-06-01
161-2-000148,구인천여고공영주차장,공영,노외,인천광역시 중구 참외전로 100,인천광역시 중구 전동 2-5,102,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,400,15,200,5,4000,40000,현금+신용카드,,인천광역시 중구청,032-579-2701,37.47711266,126.6295009,Y,2025-06-01
161-2-000149,동인천공영주차장,공영,노외,인천광역시 중구 큰우물로20번길 3-6,인천광역시 중구 용동 9-5,73,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,400,15,200,5,4000,40000,현금+신용카드,,인천광역시 중구청,032-579-2701,37.47379456,126.6321943,Y,2025-06-01
161-2-000150,경동식당앞공영주차장,공영,노외,,인천광역시 중구 경동 155,17,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47283289,126.6323191,Y,2025-06-01
161-2-000151,성공회아래공영주차장,공영,노외,,인천광역시 중구 내동 63,15,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47353416,126.6277612,Y,2025-06-01
161-2-000121,미산우드공영주차장,공영,노외,,인천광역시 중구 항동7가 58-161,19,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.45058625,126.6004817,N,2025-06-01
161-2-000122,항동7가공영주차장,공영,노외,,인천광역시 중구 항동7가 82-38,93,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,400,15,150,5,4000,40000,현금+신용카드,,인천광역시 중구청,032-763-8146,37.44611111,126.6010854,Y,2025-06-01
161-2-000123,신흥시장공영주차장,공영,노외,인천광역시 중구 도원서길 23,인천광역시 중구 신흥동2가 1-6,39,3,미시행,평일+토요일+공휴일,10:00,19:00,10:00,23:59,10:00,23:59,유료,30,400,15,200,5,4000,40000,현금+신용카드,,인천광역시 중구청,032-763-8146,37.46688431,126.6360382,Y,2025-06-01
161-2-000124,신흥시장제2공영주차장,공영,노외,,인천광역시 중구 선화동 28-2,14,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,400,15,200,5,4000,40000,현금+신용카드,,인천광역시 중구청,032-763-8146,37.4661154,126.6365978,N,2025-06-01
161-2-000125,노인복지회관앞공영주차장,공영,노외,,인천광역시 중구 신흥동2가 16-2,10,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4674203,126.6337607,N,2025-06-01
161-2-000126,보건환경연구원뒤공영주차장,공영,노외,인천광역시 중구 서해대로463번길 30(신흥동2가),인천광역시 중구 신흥동2가 22-35,22,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46836472,126.6338126,Y,2025-06-01
161-2-000127,해광사위공영주차장,공영,노외,,인천광역시 중구 신흥동1가 5-1,8,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46880798,126.6328979,N,2025-06-01
161-2-000128,구신흥동사무소공영주차장,공영,노외,,인천광역시 중구 신흥동2가 27-5,10,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46702422,126.632982,N,2025-06-01
161-2-000129,공감마을 제2,공영,노외,,인천광역시 중구 신흥동2가 27-6,13,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46682825,126.632925,N,2025-06-01
161-2-000130,구양조장공영주차장,공영,노외,,인천광역시 중구 선화동 8-1,37,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4655811,126.6380357,N,2025-06-01
161-2-000131,인하대병원사거리공영주차장,공영,노외,인천광역시 중구 아암대로 12(신흥동3가),인천광역시 중구 신흥동3가 7-317,101,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,15,300,5,6000,60000,현금+신용카드,,인천광역시 중구청,032-763-8146,37.45998591,126.6374975,Y,2025-06-01
161-2-000132,보각선원아래공영주차장,공영,노외,,인천광역시 중구 도원동 15-3,12,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46890033,126.6407154,N,2025-06-01
161-2-000133,햇살마트앞공영주차장,공영,노외,,인천광역시 중구 도원동 35-10,10,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46631591,126.6378074,Y,2025-06-01
161-2-000134,도원역공영주차장,공영,노외,,인천광역시 중구 도원동 5-7,60,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-579-2701,37.46700706,126.6415771,Y,2025-06-01
161-2-000135,정보산업고뒤제1공영주차장,공영,노외,,인천광역시 중구 유동 36-4,9,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47034893,126.6359454,N,2025-06-01
161-1-000106,참외전로27번길노상주차장,공영,노상,"인천광역시 중구 참외전로 13(송월동1가, 송월아파트)",인천광역시 중구 송월동1가 10-1,14,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.48007965,126.6211755,N,2025-06-01
161-1-000107,제물량길공영주차장,공영,노상,"인천광역시 중구 차이나타운로 12(송월동2가, 창대빌라)",인천광역시 중구 송월동2가 7-1,5,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47827333,126.6193518,N,2025-06-01
161-1-000108,자유공원서로37번길제1노상주차장,공영,노상,인천광역시 중구 자유공원서로37번길 55-2(송월동2가),인천광역시 중구 송월동2가 9-4,10,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47823185,126.6187822,N,2025-06-01
161-1-000109,자유공원서로37번길제2노상주차장,공영,노상,인천광역시 중구 차이나타운로 13(송월동3가),인천광역시 중구 송월동3가 12-4,16,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47798202,126.6195432,N,2025-06-01
161-1-000110,제물량로제1노상주차장,공영,노상,인천광역시 중구 제물량로 329(송월동2가),인천광역시 중구 송월동2가 1-1,30,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,1000,15,500,5,10000,,현금+신용카드,,인천광역시 중구청,032-763-8146,37.48009974,126.6202154,N,2025-06-01
161-1-000111,제물량로제2노상주차장,공영,노상,인천광역시 중구 제물량로 329-1(송월동2가),인천광역시 중구 송월동2가 1-26,95,1,미시행,평일+토요일+공휴일,0:00,23:59,10:00,20:00,10:00,20:00,유료,30,1000,15,500,5,10000,,현금+신용카드,,인천광역시 중구청,032-763-8146,37.47996879,126.6198407,N,2025-06-01
161-2-000112,누들플랫폼공영주차장,공영,노외,인천광역시 중구 신포로27번길 36(관동2가),인천광역시 중구 관동2가 3-1,27,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,1000,15,500,5,10000,100000,신용카드,,인천광역시 중구청,032-763-8146,37.4725381,126.6235252,Y,2025-06-01
161-2-000113,신포제2공영주차장,공영,노외,인천광역시 중구 우현로39번길 3(신포동),인천광역시 중구 신포동 17-7,37,1,미시행,평일+토요일+공휴일,10:00,19:00,10:00,19:00,10:00,19:00,유료,30,1000,15,500,5,10000,100000,현금+신용카드,,인천광역시 중구청,032-763-8146,37.47076338,126.6275291,Y,2025-06-01
161-2-000114,한중문화관공영주차장,공영,노외,,인천광역시 중구 항동2가 1-1,109,1,미시행,평일+토요일+공휴일,10:00,19:00,10:00,19:00,10:00,19:00,유료,30,1000,15,500,5,10000,100000,현금+신용카드,,인천광역시 중구청,032-763-8146,37.4731039,126.61904,Y,2025-06-01
161-2-000115,신포동공영주차장,공영,노외,,인천광역시 중구 해안동4가 1-1,71,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,15,300,5,6000,,현금+신용카드,,인천광역시 중구청,032-579-2701,37.4705883,126.6237378,Y,2025-06-01
161-2-000116,홍예문인근공영주차장,공영,노외,,인천광역시 중구 송학동3가 3-1,32,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.473838,126.625719,Y,2025-06-01
161-2-000117,자유공원공영주차장,공영,노외,인천광역시 중구 자유공원남로 35,인천광역시 중구 송학동1가 1-2,35,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47420666,126.6234332,Y,2025-06-01
161-2-000118,민방위교육장앞공영주차장,공영,노외,,인천광역시 중구 답동 60-2,6,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46812412,126.6288399,N,2025-06-01
161-2-000119,공감마을 제1,공영,노외,,인천광역시 중구 답동 65-7,4,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4692074,126.6286006,N,2025-06-01
161-2-000120,해양광장공영주차장,공영,노외,인천광역시 중구 연안부두로36,인천광역시 중구 항동7가 58-1,220,1,미시행,평일+토요일+공휴일,9:00,19:00,9:00,20:00,9:00,20:00,유료,30,1000,15,500,5,10000,100000,현금+신용카드,,인천광역시 중구청,032-763-8146,37.45549582,126.6018268,Y,2025-06-01
161-1-000091,참외전로59번길노상주차장,공영,노상,인천광역시 중구 제물량로 307(북성동2가),인천광역시 중구 북성동2가 1-1,36,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47877173,126.6185579,N,2025-06-01
161-1-000092,월미로50번길노상주차장,공영,노상,인천광역시 중구 월미로 377-1(북성동1가),인천광역시 중구 북성동1가 산 2-1,13,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46788014,126.6053151,N,2025-06-01
161-1-000093,월미로50번길제2노상주차장,공영,노상,,인천광역시 중구 북성동1가 4,21,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47855672,126.6156014,N,2025-06-01
161-1-000094,월미로제1노상주차장,공영,노상,인천광역시 중구 월미로 377-1(북성동1가),인천광역시 중구 북성동1가 산 2-1,10,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46788014,126.6053151,N,2025-06-01
161-1-000095,월미로제2노상주차장,공영,노상,인천광역시 중구 월미로 377-1(북성동1가),인천광역시 중구 북성동1가 산 2-1,79,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46788014,126.6053151,N,2025-06-01
161-1-000096,월미로제3노상주차장,공영,노상,인천광역시 중구 월미문화로 81(북성동1가),인천광역시 중구 북성동1가 98-580,23,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47147168,126.5962888,N,2025-06-01
161-1-000097,월미로제4노상주차장,공영,노상,인천광역시 중구 월미로 329(북성동1가),인천광역시 중구 북성동1가 102-2,86,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47033481,126.5974804,N,2025-06-01
161-1-000098,참외전로59번길제2노상주차장,공영,노상,인천광역시 중구 참외전로59번길 41(송월동1가),인천광역시 중구 송월동1가 4-77,27,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.48040581,126.6246412,N,2025-06-01
161-1-000099,참외전로33번길노상주차장,공영,노상,인천광역시 중구 참외전로33번길 17(송월동1가),인천광역시 중구 송월동1가 4-196,5,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.48059047,126.6237765,N,2025-06-01
161-1-000100,참외전로37번길노상주차장,공영,노상,"인천광역시 중구 참외전로59번길 43(송월동1가, 우진빌라)",인천광역시 중구 송월동1가 4-79,10,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.48039099,126.6245147,N,2025-06-01
161-1-000101,참외전로45번길노상주차장,공영,노상,인천광역시 중구 참외전로59번길 27(송월동1가),인천광역시 중구 송월동1가 1-44,6,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4801593,126.6253253,N,2025-06-01
161-1-000102,참외전로59번길노상주차장,공영,노상,인천광역시 중구 참외전로59번길 106(송월동1가),인천광역시 중구 송월동1가 9-8,38,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.48069717,126.6210761,N,2025-06-01
161-1-000103,참외전로13번길노상주차장,공영,노상,인천광역시 중구 참외전로13번길 18(송월동1가),인천광역시 중구 송월동1가 9-17,5,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.48030713,126.6208248,N,2025-06-01
161-1-000104,참외전로13번길제2노상주차장,공영,노상,인천광역시 중구 참외전로 7(송월동1가),인천광역시 중구 송월동1가 14-1,8,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47970508,126.6206578,N,2025-06-01
161-1-000105,참외전로제1노상주차장,공영,노상,인천광역시 중구 참외전로 20(송월동1가),인천광역시 중구 송월동1가 10-10,11,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47955473,126.6222125,N,2025-06-01
161-1-000076,율목로제1노상주차장,공영,노상,"인천광역시 중구 율목로 22-1(율목동, 석진빌라)",인천광역시 중구 율목동 245-22,13,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46909134,126.6333614,N,2025-06-01
161-1-000077,율목로제2노상주차장,공영,노상,인천광역시 중구 답동로30번길 10(율목동),인천광역시 중구 율목동 237-3,28,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47117766,126.6320715,N,2025-06-01
161-1-000078,제물량로108번길노상주차장,공영,노상,인천광역시 중구 답동로24번길 17(율목동),인천광역시 중구 율목동 242-15,4,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46979113,126.6323993,N,2025-06-01
161-1-000079,개항로제2노상주차장,공영,노상,인천광역시 중구 개항로 51(내동),인천광역시 중구 내동 155-1,24,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47247394,126.6282441,N,2025-06-01
161-1-000080,서해대로483번길노상주차장,공영,노상,인천광역시 중구 서해대로483번길 74(경동),인천광역시 중구 경동 118-7,25,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47216051,126.6340563,N,2025-06-01
161-1-000081,자유공원로노상주차장,공영,노상,인천광역시 중구 자유공원로 12(인현동),인천광역시 중구 인현동 5,18,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47571123,126.6296707,N,2025-06-01
