노선,방향,시간대,교통량
분당수서로,북향,15,3489
분당수서로,북향,16,3542
분당수서로,북향,17,3507
분당수서로,북향,18,3408
분당수서로,북향,19,3198
분당수서로,북향,20,3244
분당수서로,북향,21,3047
분당수서로,북향,22,2619
분당수서로,북향,23,1840
분당수서로,남향,0,1387
분당수서로,남향,1,934
분당수서로,남향,2,690
분당수서로,남향,3,646
분당수서로,남향,4,964
분당수서로,남향,5,2572
분당수서로,남향,6,3634
분당수서로,남향,7,3708
분당수서로,남향,8,3567
분당수서로,남향,9,3442
분당수서로,남향,10,3321
분당수서로,남향,11,3302
분당수서로,남향,12,3361
분당수서로,남향,13,3362
분당수서로,남향,14,3358
분당수서로,남향,15,3440
분당수서로,남향,16,3526
분당수서로,남향,17,3503
분당수서로,남향,18,3475
분당수서로,남향,19,3352
분당수서로,남향,20,3199
분당수서로,남향,21,3090
분당수서로,남향,22,2912
분당수서로,남향,23,2216
경부고속도로,북향,0,2091
경부고속도로,북향,1,1517
경부고속도로,북향,2,1182
경부고속도로,북향,3,1086
경부고속도로,북향,4,1476
경부고속도로,북향,5,3570
경부고속도로,북향,6,5883
경부고속도로,북향,7,5117
경부고속도로,북향,8,4657
경부고속도로,북향,9,4609
경부고속도로,북향,10,4634
경부고속도로,북향,11,4730
경부고속도로,북향,12,4727
경부고속도로,북향,13,4733
경부고속도로,북향,14,4735
경부고속도로,북향,15,4716
경부고속도로,북향,16,4491
경부고속도로,북향,17,4044
경부고속도로,북향,18,3954
경부고속도로,북향,19,4134
경부고속도로,북향,20,4377
경부고속도로,북향,21,4790
경부고속도로,북향,22,4190
경부고속도로,북향,23,3254
경부고속도로,남향,0,2721
경부고속도로,남향,1,1814
경부고속도로,남향,2,1368
경부고속도로,남향,3,1404
경부고속도로,남향,4,2343
경부고속도로,남향,5,4576
경부고속도로,남향,6,5461
경부고속도로,남향,7,4859
경부고속도로,남향,8,4844
경부고속도로,남향,9,4730
경부고속도로,남향,10,4576
경부고속도로,남향,11,4439
경부고속도로,남향,12,4451
경부고속도로,남향,13,4408
경부고속도로,남향,14,4426
경부고속도로,남향,15,4369
경부고속도로,남향,16,4264
경부고속도로,남향,17,4046
경부고속도로,남향,18,4151
경부고속도로,남향,19,4285
경부고속도로,남향,20,4397
경부고속도로,남향,21,5063
경부고속도로,남향,22,5008
경부고속도로,남향,23,4138
강남순환로,동향,0,648
강남순환로,동향,1,382
강남순환로,동향,2,283
강남순환로,동향,3,295
강남순환로,동향,4,576
강남순환로,동향,5,2496
강남순환로,동향,6,5720
강남순환로,동향,7,6683
강남순환로,동향,8,5963
강남순환로,동향,9,5485
강남순환로,동향,10,4566
강남순환로,동향,11,3873
강남순환로,동향,12,3791
강남순환로,동향,13,4146
강남순환로,동향,14,3839
강남순환로,동향,15,3851
강남순환로,동향,16,4213
강남순환로,동향,17,4342
강남순환로,동향,18,3935
강남순환로,동향,19,3340
강남순환로,동향,20,2737
강남순환로,동향,21,2243
강남순환로,동향,22,1732
강남순환로,동향,23,1142
강남순환로,서향,0,978
강남순환로,서향,1,600
강남순환로,서향,2,425
강남순환로,서향,3,353
강남순환로,서향,4,461
강남순환로,서향,5,1051
강남순환로,서향,6,2561
강남순환로,서향,7,4180
강남순환로,서향,8,4653
강남순환로,서향,9,3990
강남순환로,서향,10,3459
강남순환로,서향,11,3542
강남순환로,서향,12,3614
강남순환로,서향,13,3892
강남순환로,서향,14,4237
강남순환로,서향,15,4864
강남순환로,서향,16,6092
강남순환로,서향,17,6835
강남순환로,서향,18,6442
강남순환로,서향,19,5503
강남순환로,서향,20,4087
강남순환로,서향,21,3193
강남순환로,서향,22,2849
강남순환로,서향,23,1838
